nom,flowminder__inflow_202604__static.matrix,flowminder__inflow__static.matrix,flowminder__outflow_202604__static.matrix,flowminder__outflow__static.matrix,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608__static,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_prior_20260503__static,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260430__static,flowminder_short_trips__outflow_20260430__static.matrix,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260507__static,flowminder_short_trips__outflow_20260507__static.matrix,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260514__static,flowminder_short_trips__outflow_20260514__static.matrix,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260521__static,flowminder_short_trips__outflow_20260521__static.matrix,flowminder_short_trips__outflow_20260524,flowminder_short_trips__outflow_20260524__static,flowminder_short_trips__outflow_20260524__static.matrix
Nsona Mpangu,0.0,0.0,0.0,0.0,2.735e-05,2.735e-05,,6.535e-05,6.535e-05,,8.649e-05,8.649e-05,,5.063e-05,5.063e-05,,,,,,,,,,,,,,,,
Ntandembelo,0.0,0.0,0.0,0.0,0.0,0.0,,3.039e-06,3.039e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Nundu,0.0,0.0,0.0,0.0,2.128e-05,2.128e-05,,5.167e-05,5.167e-05,,5.625e-05,5.625e-05,,0.0001519,0.0001519,,,,,,,,,,,,,,,,
Nyanga,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Nyangezi,0.0,0.0,0.0,0.0,2.28e-05,2.28e-05,,3.267e-05,3.267e-05,,0.0001969,0.0001969,,8.438e-05,8.438e-05,,,,,,,,,,,,,,,,
Nyankunde,,0.0,0.0,0.0,,,1.085,,,1.153,0.00953,0.00953,,0.01063,0.01063,,3.45,3.45,,4.89,4.89,,5.8,5.8,,6.48,6.48,,6.8,6.8,
Nyantende,0.0,0.0,0.0,0.0,6.839e-05,6.839e-05,,0.0001098,0.0001098,,0.0002686,0.0002686,,0.000277,0.000277,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,
Nyarambe,,0.0,,0.0,0.0186,0.0186,,0.01772,0.01772,,0.0004275,0.0004275,,0.0002909,0.0002909,,0.21,0.21,,0.3,0.3,,0.38,0.38,,0.46,0.46,,0.49,0.49,
Nyemba,,0.0,,0.0,0.0004491,0.0004491,,0.000499,0.000499,,0.001054,0.001054,,0.001304,0.001304,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.02,0.02,
Nyiragongo,,0.0,,0.0,0.002978,0.002978,,0.003199,0.003199,,0.01771,0.01771,,0.02157,0.02157,,0.04,0.04,,0.06,0.06,,0.09,0.09,,0.11,0.11,,0.12,0.12,
Nyunzu,0.0,0.0,0.0,0.0,6.079e-06,6.079e-06,,2.28e-05,2.28e-05,,1.266e-05,1.266e-05,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Nzaba,0.0,0.0,0.0,0.0,6.332e-05,6.332e-05,,6.535e-05,6.535e-05,,4.125e-05,4.125e-05,,2.25e-05,2.25e-05,,,,,,,,,,,,,,,,
Nzanza,0.0,0.0,0.0,0.0,1.064e-05,1.064e-05,,2.432e-05,2.432e-05,,2.25e-05,2.25e-05,,8.438e-06,8.438e-06,,,,,,,,,,,,,,,,
Obokote,0.0,0.0,0.0,0.0,3.039e-06,3.039e-06,,0.0,0.0,,3.375e-05,3.375e-05,,1.969e-05,1.969e-05,,,,,,,,,,,,,,,,
Oicha,,0.0,,0.0,0.01479,0.01479,,0.01586,0.01586,,0.4433,0.4433,,0.476,0.476,,0.25,0.25,,0.43,0.43,,0.58,0.58,,0.74,0.74,,0.8,0.8,
Opala,0.0,0.0,0.0,0.0,0.0,0.0,,6.079e-06,6.079e-06,,0.0,0.0,,1.969e-05,1.969e-05,,,,,,,,,,,,,,,,
Opienge,0.0,0.0,0.0,0.0,1.52e-05,1.52e-05,,3.039e-05,3.039e-05,,0.0001013,0.0001013,,0.0002377,0.0002377,,,,,,,,,,,,,,,,
Oshwe,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Ototo,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Panda,0.0,0.0,0.0,0.0,1.824e-05,1.824e-05,,8.206e-05,8.206e-05,,4.5e-05,4.5e-05,,2.813e-05,2.813e-05,,,,,,,,,,,,,,,,
Pangi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.125e-05,1.125e-05,,5.625e-06,5.625e-06,,,,,,,,,,,,,,,,
Pania Mutombo,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Panzi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Pawa,,0.0,,0.0,0.001066,0.001066,,0.0009601,0.0009601,,0.004067,0.004067,,0.004039,0.004039,,0.01,0.01,,0.02,0.02,,0.03,0.03,,0.04,0.04,,0.04,0.04,
Pay Kongila,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Pimu,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Pinga,0.0,0.0,0.0,0.0,0.0,0.0,,3.039e-06,3.039e-06,,0.001028,0.001028,,0.003039,0.003039,,,,,,,,,,,,,,,,
Poko,0.0,0.0,,0.0,4.863e-05,4.863e-05,,9.182e-05,9.182e-05,,0.0007197,0.0007197,,0.0009844,0.0009844,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,
Police,0.0,0.0,0.0,0.0,0.0003488,0.0003488,,0.0003997,0.0003997,,0.0001533,0.0001533,,0.0002756,0.0002756,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.03,0.03,,0.04,0.04,
Popokabaka,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,5.625e-06,5.625e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Punia,0.0,0.0,0.0,0.0,7.603e-05,7.603e-05,,8.054e-05,8.054e-05,,0.0008178,0.0008178,,0.0008354,0.0008354,,,,,,,,,,,,,,,,
Pweto,0.0,0.0,0.0,0.0,3.495e-05,3.495e-05,,3.343e-05,3.343e-05,,5.625e-06,5.625e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Rethy,,0.0,,0.0,0.01056,0.01056,,0.007968,0.007968,,0.000225,0.000225,,0.0002025,0.0002025,,0.09,0.09,,0.13,0.13,,0.16,0.16,,0.21,0.21,,0.23,0.23,
Rimba,,0.0,,0.0,0.02853,0.02853,,0.03343,0.03343,,0.002064,0.002064,,0.002202,0.002202,,0.36,0.36,,0.58,0.58,,0.77,0.77,,0.93,0.93,,1.0,1.0,
Ruashi,,0.0,,0.0,5.167e-05,5.167e-05,,0.0001094,0.0001094,,0.0001294,0.0001294,,4.5e-05,4.5e-05,,,,,,,,,,,,,,,,
Rungu,,0.0,,0.0,0.0004107,0.0004107,,0.0007118,0.0007118,,0.001021,0.001021,,0.0008131,0.0008131,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.03,0.03,,0.03,0.03,
Rutshuru,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruzizi,0.0,0.0,,0.0,0.0001429,0.0001429,,0.0001877,0.0001877,,0.0001716,0.0001716,,0.0004106,0.0004106,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.01,0.01,
